a  啊
ning-jia-shi  宁家势
ning-jie  凝结
ning-jing  宁静
ning-jing-xia-lai  宁静下来
ning-ju  凝聚
ning-ju-li  凝聚力
ning-ke 凝刻  宁可
ning-ke-xin-qi-you  宁可信其有
ning-ken  宁肯
ning-li  凝力
ning-lian  凝炼
ning-mou  宁某
ning-mu  凝目
ning-qi 宁奇  拧起
ning-qi-lao  宁欺老
ning-que-wu-lan  宁缺毋滥
ning-ran  凝然
ning-ruo  凝若
ning-san  宁三
ning-se  狞色
ning-sha  宁杀
ning-shen  凝神
ning-shen-jing-ting  凝神静听
ning-sheng  狞声
ning-shi 宁师 宁氏 凝视  凝实
ning-shi-bai  宁师伯
ning-shi-bo  宁师伯
ning-shi-qi-mai  宁氏七脉
ning-shi-zhao  凝视着
ning-shi-zhe  凝视着
ning-shi-zhuo  凝视着
ning-si 凝思  宁死
ning-si-bu-qu  宁死不屈
ning-ti  凝体
ning-wang  凝望
ning-wei-ji-tou  宁为鸡头
ning-wei-yu-sui  宁为玉碎
ning-xi  凝息
ning-xiao  狞笑
ning-xin  宁心
ning-xing  宁姓
ning-xu-wei  凝虚为
ning-xue  凝血
ning-xue-dan  凝雪丹
ning-ying  凝婴
ning-yu  宁宇
ning-yuan  宁愿
ning-zhe-bu-wan  宁折不弯
ning-zhi 凝脂 凝指  凝滞
ning-zhi-cheng  凝指成
ning-zhong  凝重
ning-zhou  宁州
ning-zhu  凝住
ning-zuo  宁做
niu 扭  牛
niu-bi-zi  牛鼻子
niu-da  扭打
niu-dai  纽带
niu-dao 牛到  牛刀
niu-dao-xiao-shi  牛刀小试
niu-dong  扭动
niu-duan  扭断
niu-er 牛二  牛耳
niu-fen  牛粪
niu-guo  扭过
niu-guo-tou  扭过头
niu-guo-tou-lai  扭过头来
niu-hou  牛吼
niu-jiao  牛角
niu-jiao-jian  牛角尖
niu-kou  拗口
niu-lang-zhi-nv  牛郎织女
niu-ma  牛马
niu-mao  牛毛
niu-mao-xi-yu  牛毛细雨
niu-mo  牛魔
niu-nai  牛奶
niu-ni  忸怩
niu-nie  扭捏
niu-nie-zuo-tai  扭捏作态
niu-niu-nie-nie  扭扭捏捏
niu-pi  牛皮
niu-pi-tang  牛皮糖
niu-qi  牛气
niu-qu  扭曲
niu-shen 扭身  牛身
niu-shou  牛首
niu-ti  牛蹄
niu-tou 牛头  扭头
niu-wa  牛蛙
niu-wei  牛尾
niu-xiong  牛兄
niu-yan  牛眼
niu-yang  牛羊
niu-yin  牛饮
niu-you  牛油
niu-zhuan  扭转
niu-zhuan-qian-kun  扭转乾坤
niu-zhuan-tui-shi  扭转颓势
nong 浓  弄
nong-bao  脓包
nong-bu-hao  弄不好
nong-bu-qing  弄不清
nong-chong  浓重
nong-chou  浓稠
nong-chu 弄出  浓处
nong-chu-lai  弄出来
nong-chu-qu  弄出去
nong-cuo  弄错
nong-dao  浓到
nong-dao-shou  弄到手
nong-de  浓得
nong-diao  弄掉
nong-dong  弄懂
nong-du  浓度
nong-er  浓而
nong-fu  农夫
nong-ge  弄个
nong-hou  浓厚
nong-huai  弄坏
nong-huai-le  弄坏了
nong-huai-liao  弄坏了
nong-hun  弄混
nong-jia  农家
nong-jia-cheng-zhen  弄假成真
nong-lie  浓烈
nong-mei  浓眉
nong-mei-da-yan  浓眉大眼
nong-mi  浓密
nong-mo  浓墨
nong-mo-chong-cai  浓墨重彩
nong-mo-zhong-cai  浓墨重彩
nong-nong  浓浓
nong-nong-de  浓浓的
nong-qiao-cheng  弄巧成
nong-qiao-cheng-zhuo  弄巧成拙
nong-qing  弄清
nong-qing-chu  弄清楚
nong-ru  浓如
nong-shang  浓上
nong-suo  浓缩
nong-wu  浓雾
nong-xie  弄些
nong-xue  脓血
nong-yan  浓烟
nong-yan-gun-gun  浓烟滚滚
nong-yu  浓郁
nong-yue  浓越
nong-zhi-chu  浓之处
nong-zhong  浓重
nong-zhuang-yan-ma  浓妆艳抹
nong-zhuang-yan-mo  浓妆艳抹
nong-zi  弄姿
nu 奴  怒
nu-bi  奴婢
nu-bo  怒波
nu-bu  努不
nu-chao  怒潮
nu-chi  怒斥
nu-cong-xin-tou-qi  怒从心头起
nu-dao  怒到
nu-fa  怒发
nu-fa-chong-guan  怒发冲冠
nu-fang  怒放
nu-gong  奴供
nu-gui-fen  怒归愤
nu-gui-nu  怒归怒
nu-hao  怒号
nu-he  怒喝
nu-hou  怒吼
nu-hou-sheng  怒吼声
nu-huo  怒火
nu-ji  怒极
nu-jia  奴家
nu-jian  弩箭
nu-jiao  怒蛟
nu-juan  怒卷
nu-lang  怒浪
nu-li 奴隶  努力
nu-li-di-gao  努力提高
nu-li-ti-gao  努力提高
nu-li-zheng-qu  努力争取
nu-ma  怒骂
nu-mu  怒目
nu-mu-er-shi  怒目而视
nu-mu-yuan-zheng  怒目圆睁
nu-pu  奴仆
nu-qi  怒气
nu-qi-chong-tian  怒气冲天
nu-rong  怒容
nu-rong-man-mian  怒容满面
nu-se  怒色
nu-suo-neng  奴所能
nu-tao  怒涛
nu-tao-peng-pai  怒涛澎湃
nu-tao-xiong-yong  怒涛汹涌
nu-wei  奴为
nu-xiao  怒啸
nu-xiao-zhi  怒啸直
nu-xing-yu-se  怒形于色
nu-yan  奴颜
nu-yan-mei-gu  奴颜媚骨
nu-yi  怒意
nu-zhi-shen  奴之身
nu-zu  奴族
nuan-chuang  暖床
nuan-he  暖和
nuan-hong-hong  暖烘烘
nuan-huo  暖和
nuan-liu  暖流
nuan-nuan-de  暖暖的
nuan-qi  暖气
nuan-yang-yang  暖洋洋
nuan-yi  暖意
nuan-yu  暖玉
nue-sha  虐杀
nuo  挪
nuo-bu  挪步
nuo-bu-dong  挪不动
nuo-bu-kai  挪不开
nuo-dao  挪到
nuo-dong  挪动
nuo-fu  懦夫
nuo-guo  挪过
nuo-kai  挪开
nuo-nuo  诺诺
nuo-nuo-lian-sheng  诺诺连声
nuo-qu  挪去
nuo-ruo  懦弱
nuo-xia  挪下
nuo-xiang 挪向  挪像
nuo-yan  诺言
nuo-yi  挪移
nuo-yong  挪用
nuo-yuan  挪远
nuo-zou  挪走
nv  女
nv-ban 女版  女般
nv-ban-nan-zhuang  女扮男装
nv-ben  女本
nv-bi  女婢
nv-chang  女长
nv-chong  女重
nv-chu  女出
nv-da  女大
nv-da-dang-jia  女大当嫁
nv-da-gan  女大感
nv-da-shi-ba-bian  女大十八变
nv-da-you  女大有
nv-dai  女带
nv-dan  女单
nv-dao  女道
nv-de  女得
nv-di-zi  女弟子
nv-dian  女点
nv-dian-zhu  女店主
nv-dong  女动
nv-dou  女斗
nv-duo  女多
nv-er  女儿
nv-er-guo  女儿国
nv-er-shen  女儿身
nv-fan  女犯
nv-fang  女放
nv-gan  女敢
nv-gang  女刚
nv-gu-xiu  女古修
nv-guan 女管  女官
nv-gui  女鬼
nv-hai  女孩
nv-hai-er  女孩儿
nv-hai-zi  女孩子
nv-hang  女行
nv-hen  女恨
nv-hu  女护
nv-hui  女会
nv-jia  女加
nv-jian 女间  女见
nv-jiang  女将
nv-jiao 女娇  女交
nv-jiao-yi  女交一
nv-jin  女仅
nv-jing  女惊
nv-jiu  女久
nv-juan  女卷
nv-ke  女客
nv-kou  女口
nv-kuai  女会
nv-kui  女奎
nv-lai  女来
nv-li  女理
nv-lin-xuan  女林轩
nv-ling-gen  女灵根
nv-liu  女流
nv-liu-zhi-bei  女流之辈
nv-lue  女略
nv-lue-gan  女略感
nv-luo  女落
nv-mie  女灭
nv-ming  女命
nv-mo  女魔
nv-mo-bi  女魔必
nv-mo-di  女魔地
nv-mo-tou  女魔头
nv-nu 女奴  女怒
nv-pa  女怕
nv-peng-you  女朋友
nv-pin  女频
nv-qi-xin  女七心
nv-qiong  女穷
nv-qu  女去
nv-ren  女人
nv-ruo 女弱  女若
nv-sao  女扫
nv-se  女色
nv-shao  女少
nv-shen 女身  女神
nv-sheng 女声  女生
nv-shi  女尸
nv-shi-you  女十有
nv-shou  女手
nv-shou-yuan  女寿元
nv-shuo  女说
nv-song  女松
nv-suo  女所
nv-suo-yan  女所言
nv-tan  女叹
nv-tu  女吐
nv-wang 女王  女望
nv-wei 女围  女为
nv-wo  女握
nv-xia 女侠  女下
nv-xian  女现
nv-xin  女心
nv-xing 女行  女性
nv-xiu  女修
nv-xiu-dian  女修点
nv-xiu-hui  女修会
nv-xiu-jia  女修加
nv-xiu-jian  女修见
nv-xiu-jin  女修仅
nv-xiu-juan  女修卷
nv-xiu-kuai  女修会
nv-xiu-lue  女修略
nv-xiu-men  女修们
nv-xiu-song  女修松
nv-xu  女婿
nv-yao  女妖
nv-yao-mo  女妖魔
nv-yi  女以
nv-yi-chu  女艺出
nv-yi-dai  女一呆
nv-yi-ren  女一人
nv-yong  女用
nv-you 女友  女有
nv-yu  女玉
nv-yuan-ying  女元婴
nv-zao  女早
nv-zhan  女站
nv-zhang  女长
nv-zhen  女真
nv-zhi  女制
nv-zhi-hao  女治好
nv-zhong  女重
nv-zhong-chu  女仲出
nv-zhu-chi  女主持
nv-zhuang  女装
nv-zi 女字  女子
o  哦
ou  呕
ou-di  呕地
ou-duan-si-lian  藕断丝连
ou-er  偶尔
ou-fei  偶非
ou-hui-liang  偶会量
ou-kuai-liang  偶会量
ou-ma  殴麻
ou-qi  怄气
ou-ran  偶然
ou-ran-jian  偶然间
ou-tu  呕吐
ou-xiang  偶像
ou-xin-li-xue  呕心沥血
ou-xue  呕血
ou-yang  欧阳
ou-you  偶有
ou-yu  偶遇
pa 怕 爬  趴
pa-bu-pa  怕不怕
pa-bu-qi-lai  爬不起来
pa-chi-ku  怕吃苦
pa-chu-lai  爬出来
pa-da  啪嗒
pa-dao  趴到
pa-dong  爬动
pa-gao  爬高
pa-hang  爬行
pa-hang-dong-wu  爬行动物
pa-kai  扒开
pa-la  啪啦
pa-man  爬满
pa-man-le  爬满了
pa-man-liao  爬满了
pa-pa 怕怕  啪啪
pa-pi  扒皮
pa-qi-lai  爬起来
pa-ren  怕人
pa-shang-qu  爬上去
pa-shi  怕事
pa-si  怕死
pa-ta  啪嗒
pa-teng  怕疼
pa-wo  趴卧
pa-xia  趴下
pa-xing  爬行
pa-xing-dong-wu  爬行动物
pa-xiu  怕羞
pa-zai  趴在
pai 牌 派  拍
pai-an-jiao-jue  拍案叫绝
pai-ban  拍板
pai-bi  派必
pai-bian  牌匾
pai-bie  派别
pai-bing  排兵
pai-bu  排布
pai-bu-chu  拍不出
pai-bu-jin  排不进
pai-bu-shang  排不上
pai-cang-ying  拍苍蝇
pai-cha  排查
pai-chang  排场
pai-cheng  拍成
pai-chi  排斥
pai-chi-li  排斥力
pai-chu 排出 拍出 派出  排除
pai-chu-lai  排出来
pai-chu-qu 排出去  拍出去
pai-da  拍打
pai-da-neng  派大能
pai-da-zhao  拍打着
pai-da-zhe  拍打着
pai-da-zhuo  拍打着
pai-dao 排到  拍到
pai-de 拍得  排得
pai-de-zhe  拍得者
pai-diao  拍掉
pai-dui 派对  排队
pai-fang 牌坊  派放
pai-fei  拍飞
pai-hang  排行
pai-hang-bang  排行榜
pai-hou  排后
pai-huai  徘徊
pai-huai-bu-qian  徘徊不前
pai-hui 派毁  徘徊
pai-hui-bu-qian  徘徊不前
pai-hui-yu  徘回于
pai-ji 拍击  排挤
pai-ji-diao  排挤掉
pai-jie  排解
pai-jin 拍进  排进
pai-kai 拍开  排开
pai-lai  派来
pai-le-pai  拍了拍
pai-li 派里  派离
pai-liao-pai  拍了拍
pai-lie  排列
pai-lie-cheng  排列成
pai-lie-zu-he  排列组合
pai-luo  拍落
pai-ma  拍马
pai-ma-pi  拍马屁
pai-mai  拍卖
pai-mai-chang  拍卖场
pai-mai-hang  拍卖行
pai-mai-hui  拍卖会
pai-mai-jia  拍卖价
pai-mai-kuai  拍卖会
pai-mai-pin 拍买品  拍卖品
pai-mai-shi  拍卖师
pai-mai-xing  拍卖行
pai-man  排满
pai-ming  排名
pai-ming-di  排名第
pai-ning-jia  派宁家
pai-pai  拍拍
pai-qi  拍起
pai-qian 排前  派遣
pai-ren-cha  派人查
pai-ren-lai  派人来
pai-ru  排入
pai-san  拍散
pai-san-ge  派三哥
pai-shan-dao-hai  排山倒海
pai-shang-yong-chang  派上用场
pai-shao  派少
pai-shen  排身
pai-shi  派势
pai-shou 派收 派手  拍手
pai-shou-chen-kuai  拍手称快
pai-shou-cheng-kuai  拍手称快
pai-shu  排述
pai-si  拍死
pai-ta-xing  排他性
pai-tai-guo  派太过
pai-tou  派头
pai-wai  排外
pai-wai-jing  拍外景
pai-wang  派往
pai-wei 排位  牌位
pai-xi  派系
pai-xia  拍下
pai-xia-lai  拍下来
pai-xiang  拍像
pai-xing  排行
pai-xing-bang  排行榜
pai-xiong  拍胸
pai-xiong-fu  拍胸脯
pai-xiong-pu  拍胸脯
pai-yi  排异
pai-yong  派用
pai-you  排忧
pai-you-jie-nan  排忧解难
pai-zai  排在
pai-zhao  排着
pai-zhe  排着
pai-zhu  派驻
pai-zhuo  排着
pai-zi  牌子
pai-zong-men  派宗门
pan-an  潘安
pan-an-zai-shi  潘安再世
pan-bian  叛变
pan-bo  盘剥
pan-cha  盘查
pan-cheng  盘成
pan-chu 判出 判处  叛出
pan-dao  攀到
pan-deng  攀登
pan-dian  盘点
pan-diao  拚掉
pan-ding 盘顶  判定
pan-duan  判断
pan-duan-li  判断力
pan-fu  攀附
pan-gao  攀高
pan-guan-bi  判官笔
pan-hang  攀行
pan-huan  盘桓
pan-huan-zhao  盘桓着
pan-huan-zhe  盘桓着
pan-huan-zhuo  盘桓着
pan-huo  盘活
pan-jin  潘进
pan-jin-xu  潘进吁
pan-jin-yu  潘进吁
pan-ju  盘踞
pan-juan  盘卷
pan-jue-shu  判决书
pan-long 蟠龙  盘龙
pan-luan  叛乱
pan-men  叛门
pan-ni  叛逆
pan-ni-zhe  叛逆者
pan-pa  攀爬
pan-pai  叛派
pan-qi  攀起
pan-rao  盘绕
pan-ruo-liang-ren  判若两人
pan-ruo-yun-ni  判若云泥
pan-shang  攀上
pan-sheng  攀升
pan-shi  磐石
pan-suan  盘算
pan-suan-zhao  盘算着
pan-suan-zhe  盘算着
pan-suan-zhuo  盘算着
pan-tan  攀谈
pan-tao  蟠桃
pan-tao-hui  蟠桃会
pan-tao-kuai  蟠桃会
pan-tu  叛徒
pan-tuo  盘托
pan-wang  盼望
pan-wang-yi-jiu  盼望已久
pan-wang-zhao  盼望着
pan-wang-zhe  盼望着
pan-wang-zhuo  盼望着
pan-wen  盘问
pan-xi  盘膝
pan-xi-er-zuo  盘膝而坐
pan-xia  盘下
pan-xing  攀行
pan-xuan  盘旋
pan-yan  攀岩
pan-zhong  盘中
pan-zhong-can  盘中餐
pan-zhong-cheng  盘中盛
pan-zhong-sheng  盘中盛
pan-zi  盘子
pan-zuo  盘坐
pan-zuo-zhao  盘坐着
pan-zuo-zhe  盘坐着
pan-zuo-zhuo  盘坐着
pang 胖  旁
pang-ao  旁骜
pang-bian 旁便  旁边
pang-bo 庞博  磅礴
pang-bo-yi  庞博一
pang-ce  旁侧
pang-da 胖大  庞大
pang-da-yao  膀大腰
pang-da-yao-yuan  膀大腰圆
pang-dao  胖到
pang-de 螃的  胖得
pang-du-du  胖嘟嘟
pang-fei  旁飞
pang-gu 胖古  旁顾
pang-guan  旁观
pang-guan-zhe  旁观者
pang-guan-zhe-qing  旁观者清
pang-hu-hu  胖乎乎
pang-huang  彷徨
pang-jiao  胖蛟
pang-men  旁门
pang-mo  胖魔
pang-pang  胖胖
pang-pang-de  胖胖的
pang-pian  旁便
pang-qiao-ce-ji  旁敲侧击
pang-ran 庞然  磅然
pang-ran-da-wu  庞然大物
pang-ran-ju  庞然巨
pang-ren  旁人
pang-ru 胖如  彷如
pang-ruo  彷若
pang-ruo-wu-ren  旁若无人
pang-shang  胖上
pang-sheng  旁生
pang-shou  胖瘦
pang-ting  旁听
pang-wan  旁晚
pang-wu 旁鹜  旁骛
pang-xi  旁系
pang-xie  螃蟹
pang-xing  庞姓
pang-yi-guan  旁一观
pang-ying  旁应
pang-za  庞杂
pang-zhan  旁站
pang-zhi  旁支
pang-zhu  旁助
pang-zi  胖子
pang-zun-zhe  胖尊者
pao 抛 袍  跑
pao-bian  跑遍
pao-bu  跑步
pao-bu-diao  跑不掉
pao-bu-le  跑不了
pao-bu-liao  跑不了
pao-cheng  泡成
pao-chu 抛除 刨除  抛出
pao-chu-lai  抛出来
pao-chu-qu  跑出去
pao-dao  抛到
pao-de-kuai  跑得快
pao-diao  跑掉
pao-fan  跑反
pao-fang  炮放
pao-fei  抛飞
pao-fu  袍服
pao-gen-wen-di  刨根问底
pao-guan  炮管
pao-guo-lai  跑过来
pao-huang  抛荒
pao-hui  炮灰
pao-hui-chu  袍挥处
pao-huo  炮火
pao-kai  抛开
pao-luo  抛落
pao-mei-yan  抛媚眼
pao-men  抛们
pao-mo  泡沫
pao-pao  泡泡
pao-pao-tiao-tiao  跑跑跳跳
pao-qi 抛起  抛弃
pao-que  抛却
pao-ru 抛入  泡入
pao-sa  抛洒
pao-shen  炮身
pao-ta  炮塔
pao-tang 跑堂  泡汤
pao-ti  跑题
pao-tou  抛投
pao-tou-lu-mian  抛头露面
pao-tu  刨土
pao-tui  跑腿
pao-wen-quan  泡温泉
pao-xia  抛下
pao-xia-lai  抛下来
pao-xia-qu  跑下去
pao-xiang  抛向
pao-xiao  咆哮
pao-xiao-qi-lai  咆哮起来
pao-xiao-sheng  咆哮声
pao-ying  泡影
pao-zai-hou-mian  抛在后面
pao-zhi 炮制  抛至
pao-zhuan-yin-yu  抛砖引玉
pao-zi  袍子
pei 陪  配
pei-ban  陪伴
pei-ban-zhao  陪伴着
pei-ban-zhe  陪伴着
pei-ban-zhuo  陪伴着
pei-bei  配备
pei-ben  赔本
pei-ben-sheng-yi  赔本生意
pei-ben-zun  陪本尊
pei-bu-shang  配不上
pei-bu-shi 陪不是  赔不是
pei-chang  赔偿
pei-chang-sun-shi  赔偿损失
pei-chen 配称  陪衬
pei-cheng  配称
pei-ci  陪此
pei-cun  配村
pei-dai  佩戴
pei-dang  配当
pei-de  配得
pei-di  赔地
pei-dian  佩殿
pei-er  佩儿
pei-fang  配方
pei-fei-dan  配废丹
pei-fu  佩服
pei-ge  赔个
pei-gei  赔给
pei-guo  陪过
pei-hao 配好  赔好
pei-he  配合
pei-he-mo-qi  配合默契
pei-he-shang  配和上
pei-huo-shang  配和上
pei-ji  赔给
pei-jiao  配角
pei-ke  陪客
pei-le-fu-ren-you-zhe-bing  赔了夫人又折兵
pei-li  赔礼
pei-li-dao-qian  赔礼道歉
pei-lian 陪炼 培练 陪练  培炼
pei-liao  配料
pei-liao-fu-ren-you-zhe-bing  赔了夫人又折兵
pei-lin-xiong  陪林兄
pei-lin-xuan  陪林轩
pei-me  配么
pei-ni-qu  陪你去
pei-ni-wan  陪你玩
pei-ni-zou  陪你走
pei-nin  陪您
pei-pei  陪陪
pei-quan  配全
pei-ran  沛然
pei-san  沛散
pei-shang 陪上 赔上  配上
pei-shi  佩饰
pei-shuo  配说
pei-tao  配套
pei-tong 陪同  配同
pei-tu  配图
pei-xiao 赔笑  陪笑
pei-xiao-lian  赔笑脸
pei-xiao-xin  陪小心
pei-yang  培养
pei-yao  配药
pei-yi  配以
pei-you  配有
pei-yu 配予  培育
pei-yu-chu  培育出
pei-yuan  培元
pei-zang  陪葬
pei-zhao  配着
pei-zhe  配着
pei-zhi 配制 配置  培植
pei-zhong  陪钟
pei-zhuo  配着
pei-zui  赔罪
pei-zuo  配做
pen  喷
pen-bao 喷爆  喷薄
pen-bao-er-chu  喷薄而出
pen-bi-huo  喷碧火
pen-bing-tu-huo  喷冰吐火
pen-bo 喷勃  喷薄
pen-bo-er-chu  喷薄而出
pen-chu  喷出
pen-chu-lai  喷出来
pen-chu-qu  喷出去
pen-da  盆大
pen-da-zui  盆大嘴
pen-dao  喷到
pen-de  喷得
pen-di  盆地
pen-er-chu  喷而出
pen-fa  喷发
pen-ge  喷个
pen-han-wu  喷寒雾
pen-huo  喷火
pen-jian  喷溅
pen-jing  盆景
pen-man  盆满
pen-man-ti  盆满体
pen-qi  喷起
pen-qi-lai  喷起来
pen-qi-shang  喷其上
pen-quan  喷泉
pen-ru  喷入
pen-sa  喷洒
pen-shang  喷上
pen-she  喷射
pen-she-chu  喷射出
pen-shen-mang  喷神芒
pen-shui  喷水
pen-ti  喷嚏
pen-tu  喷吐
pen-xiang  喷像
pen-xu  喷虚
pen-xue  喷血
pen-yong  喷涌
pen-zai  盆栽
pen-zhao  喷着
pen-zhe  喷着
pen-zhong  喷中
pen-zhuo  喷着
pen-zi  盆子
peng 碰  嘭
peng-bei  捧杯
peng-bi  碰壁
peng-bi-sheng-hui  蓬荜生辉
peng-bo  蓬勃
peng-bu-zhao  碰不着
peng-bu-zhe  碰不着
peng-bu-zhuo  碰不着
peng-cha  烹茶
peng-chang  捧场
peng-chu  碰触
peng-dao  碰到
peng-ding-zi  碰钉子
peng-ge  碰个
peng-jian  碰见
peng-lai  蓬莱
peng-lai-dao  蓬莱岛
peng-lai-xian-dao  蓬莱仙岛
peng-lai-xian-jing  蓬莱仙境
peng-mian  碰面
peng-niao  鹏鸟
peng-pai  澎湃
peng-pai-xiong-yong  澎湃汹涌
peng-peng 怦怦 砰砰  蓬蓬
peng-peng-yun-qi  碰碰运气
peng-peng-zhi-tiao  怦怦直跳
peng-qi  捧起
peng-qiao  碰巧
peng-ran-dong-xin  怦然动心
peng-ran-xin-dong  怦然心动
peng-ren  烹饪
peng-sha  捧杀
peng-shang  碰上
peng-shi  碰实
peng-tou  碰头
peng-tou-gou-mian  蓬头垢面
peng-xia  碰下
peng-xiao-xian  烹小鲜
peng-yi  碰一
peng-you  朋友
peng-yun-qi  碰运气
peng-zhang  膨胀
peng-zhang-qi-lai  膨胀起来
peng-zhao  碰着
peng-zhe  碰着
peng-zhi  烹制
peng-zhuang  碰撞
peng-zhuo  碰着
pi 否 披 皮  劈
pi-ao  皮袄
pi-bao-gu-tou  皮包骨头
pi-bei  疲惫
pi-cao-rou-hou  皮糙肉厚
pi-chai  劈柴
pi-cheng  劈成
pi-chu  劈出
pi-ci 批次  劈刺
pi-dai 皮带  皮袋
pi-di  匹敌
pi-dian  屁颠
pi-ding  否定
pi-du  辟毒
pi-fa 疲乏 批发  披发
pi-feng  披风
pi-fu 蚍蜉 匹夫  皮肤
pi-fu-han-da-shu  蚍蜉撼大树
pi-fu-han-shu  蚍蜉撼树
pi-fu-wu-zui  匹夫无罪
pi-fu-zhi-yong  匹夫之勇
pi-gu 屁股  辟谷
pi-gua  披挂
pi-gua-shang-zhen  披挂上阵
pi-gui-pu  批鬼仆
pi-gun-niao-liu  屁滚尿流
pi-guo  辟果
pi-hong-gua-cai  披红挂彩
pi-hou  皮厚
pi-hu  否乎
pi-hua  屁话
pi-jia  披甲
pi-jian  披肩
pi-jian-zhi-rui  披坚执锐
pi-jing  僻静
pi-jing-zhan-ji  披荆斩棘
pi-jiu-fou  否就否
pi-jiu-pi  否就否
pi-juan  疲倦
pi-jue  否决
pi-kai  劈开
pi-kai-rou-zhan  皮开肉绽
pi-kong  劈空
pi-lai  劈来
pi-lao  疲劳
pi-le  否了
pi-lei  疲累
pi-li  霹雳
pi-li-pa-la  噼里啪啦
pi-lian  匹练
pi-liao  否了
pi-lin  毗邻
pi-lou 砒漏  纰漏
pi-luo 否落  劈落
pi-ma  匹马
pi-mao  皮毛
pi-mei  媲美
pi-mi  披靡
pi-mian  劈面
pi-nang  皮囊
pi-ni  睥睨
pi-pa 琵琶 劈啪  噼啪
pi-pei  匹配
pi-pi  屁屁
pi-pi-pa-pa  噼噼啪啪
pi-ping  批评
pi-qi  脾气
pi-qi-hao  脾气好
pi-qiu  皮球
pi-ren  否认
pi-rou  皮肉
pi-ru  劈入
pi-san  披散
pi-se  疲色
pi-shang  披上
pi-shen  裨身
pi-shi 屁事  否是
pi-tai  疲态
pi-tou  劈头
pi-tou-gai-lian  劈头盖脸
pi-tou-san-fa  披头散发
pi-xia  劈下
pi-xiao-rou-bu-xiao  皮笑肉不笑
pi-xie  辟邪
pi-xing  脾性
pi-xing-dai-yue  披星戴月
pi-xiu  貔貅
pi-yang  皮痒
pi-yao  噼要
pi-yi  裨益
pi-yong  屁用
pi-yu  疲于
pi-yu-ben-ming  疲于奔命
pi-ze  否则
pi-zhen  脾阵
pi-zhi  皮质
pi-zhi-bu-cun  皮之不存
pi-zhu  批注
pian 扁 篇 偏 骗  便
pian-ai  偏爱
pian-an  偏安
pian-bu-xin  偏不信
pian-cha  偏差
pian-chai  偏差
pian-cheng 扁成  便成
pian-chong-yu  偏重于
pian-chu 偏出 偏处  便出
pian-ci  偏差
pian-cun  便存
pian-dao  骗到
pian-de  骗得
pian-di  偏低
pian-dian  偏殿
pian-diao  偏掉
pian-ding  便定
pian-dong  便动
pian-duan  片段
pian-fang  便放
pian-fen  便分
pian-feng 偏锋  偏逢
pian-fu 篇幅  便抚
pian-gao  偏高
pian-guo 偏过  骗过
pian-hao  偏好
pian-huan  便缓
pian-hui  便会
pian-ji  偏激
pian-jia  片甲
pian-jia-bu-liu  片甲不留
pian-jie 偏街  便捷
pian-jin 便仅  便进
pian-ju 骗局  偏居
pian-kai  偏开
pian-ke  片刻
pian-ke-jian  片刻间
pian-ke-zhi-jian  片刻之间
pian-kuai  便会
pian-lai 便来  骗来
pian-li 偏离  便利
pian-lin-xuan 便林轩  骗林轩
pian-ling  便灵
pian-long  片龙
pian-lou  偏漏
pian-luo  便落
pian-men  偏门
pian-pao  便袍
pian-pi  偏僻
pian-pian 骗骗 翩翩 片片  偏偏
pian-pian-qi-wu  翩翩起舞
pian-ping  扁平
pian-po  偏颇
pian-qu  骗取
pian-qu-qian-cai  骗取钱财
pian-ran  翩然
pian-ren  骗人
pian-ru  骗入
pian-ruo  偏弱
pian-ruo-jing-hong  翩若惊鸿
pian-shang  偏上
pian-she  便设
pian-shen  便身
pian-shi 骗尸  便是
pian-shou 便收 偏首  便手
pian-shou-yuan-hao  便寿元耗
pian-shuo  偏说
pian-suan  便算
pian-tan  偏袒
pian-ting  偏厅
pian-tou  偏头
pian-wen  便闻
pian-wen-zhang  篇文章
pian-xi  偏西
pian-xia  偏下
pian-xiang  偏向
pian-xie-shi  便携式
pian-xin  偏心
pian-xiu  便袖
pian-yao  偏要
pian-ye  片叶
pian-yi 偏移  便宜
pian-yi-hang-shi  便宜行事
pian-yi-huo  便宜货
pian-yi-xing-shi  便宜行事
pian-yong  便用
pian-you-mu  便游目
pian-yu  便于
pian-yu-guan-li  便于管理
pian-yuan  偏远
pian-yuan-di-qu  偏远地区
pian-zhan  便战
pian-zhao  偏着
pian-zhe  偏着
pian-zhi 便知  偏执
pian-zhi-duo  片之多
pian-zhong-yu  偏重于
pian-zhou  扁舟
pian-zhuo  偏着
pian-zi 片子  骗子
pian-zou  骗走
piao 飘  瞟
piao-bang  票榜
piao-bo  漂泊
piao-chong  瓢虫
piao-chu  飘出
piao-chuang  飘床
piao-dang  飘荡
piao-dao  飘到
piao-dong  飘动
piao-fei  飘飞
piao-fu 飘浮  漂浮
piao-guo  飘过
piao-guo-lai  飘过来
piao-guo-qu  飘过去
piao-hu  飘忽
piao-hu-bu-ding  飘忽不定
piao-hui  飘回
piao-jia  票价
piao-jin  飘进
piao-kai  飘开
piao-lai  飘来
piao-lai-dang  飘来荡
piao-le  漂了
piao-li-chu  飘离出
piao-liang  漂亮
piao-liang-hua  漂亮话
piao-liao  漂了
piao-liu  漂流
piao-luo  飘落
piao-miao 缥缈  飘渺
piao-piao 票票  飘飘
piao-piao-dang-dang  飘飘荡荡
piao-piao-hu-hu  飘飘忽忽
